title,year,director,music_director,votes
"Asvins","2023","Tarun Teja Mallareddy","Vijay Siddharrth","10"
"Extra Ordinary Man","2023","Vakkantham Vamsi","Harris Jayaraj","10"
"Naa Saami Ranga","2024","Vijay Binni","M.M. Keeravaani","10"
"Telusu Kada","2025","Neeraja Kona","S. Thaman","10"
"(MAD)²","2025","Kalyan Shankar","S. Thaman","10"
"Neninthe","2008","Puri Jagannadh","Chakri","10"
"Andhra King Taluka","2025","Mahesh Babu P","Mervin Solomon","10"
"Krishnam Vande Jagadgurum","2012","Krish Jagarlamudi","Mani Sharma","10"
"Ongole Githa","2013","Bhaskar","G. V. Prakash Kumar","10"
"Shambo Shiva Shambo","2010","Samuthirakani","Sundar C. Babu","10"
"Paisa Vasool","2017","Puri Jagannadh","Anup Rubens","10"
"Mental Madhilo","2017","Vivek Athreya","Prashanth R Vihari","10"
"Okka Kshanam","2017","Vi Anand","Mani Sharma","10"
"Srinivasa Kalyanam","2018","Satish Vegesna","Mickey J Meyer","10"
"Viraata Parvam","2022","Venu Udugula","Suresh Bobbili","10"
"Rama Rama Krishna Krishna","2010","Sriwass","M.M. Keeravaani","10"
"Godse","2022","Gopi Ganesh","Sunil Kashyap","10"
"Kantri","2008","Meher Ramesh","Mani Sharma","10"
"Adbhutham","2021","Mallik Ram","Radhan","10"
"Ammu","2022","Charukesh Sekar","Bharath Shankar","10"
